[18:07:57] [INFO] received Windows console close event; shutting log-core down
[18:10:21] [INFO] received Windows console close event; shutting log-core down
[18:10:21] [INFO] received Windows console close event; shutting log-core down
[19:23:19] [INFO] received Windows console close event; shutting log-core down
[19:39:40] [INFO] received Windows console close event; shutting log-core down
[20:51:56] [INFO] received Windows console close event; shutting log-core down
[20:58:24] [INFO] received Windows console close event; shutting log-core down
[21:04:39] [INFO] received Windows console close event; shutting log-core down
[21:30:03] [INFO] received Windows console close event; shutting log-core down
[21:31:57] [INFO] received Windows console close event; shutting log-core down
[21:40:04] [INFO] received Windows console close event; shutting log-core down
[21:45:26] [INFO] received Windows console close event; shutting log-core down
[21:48:25] [INFO] received Windows console close event; shutting log-core down
[21:54:55] [INFO] received Windows console close event; shutting log-core down
[21:57:34] [INFO] received Windows console close event; shutting log-core down
[23:22:16] [INFO] received Windows console close event; shutting log-core down
[23:43:52] [INFO] received Windows console close event; shutting log-core down
